ID,名称,化学式,类别,化学性质,物理性质
37,氢氧化铜,Cu(OH)₂,碱,"弱碱性，与酸反应生成Cu²⁺盐（如Cu(OH)₂ + 2HCl → CuCl₂ + 2H₂O）。加热分解为CuO（Cu(OH)₂ → CuO + H₂O）。","蓝色絮状沉淀，不溶于水，密度3.37 g/cm³。可溶于浓强碱形成铜酸盐（如Cu(OH)₂ + 2NaOH → Na₂[Cu(OH)₄]）。"
38,氢氧化镁,Mg(OH)₂,碱,"中强碱，与酸反应生成Mg²⁺盐（如Mg(OH)₂ + 2HCl → MgCl₂ + 2H₂O）。难溶于水，可用作抗酸药（中和胃酸）。","白色无定形粉末，密度2.36 g/cm³，熔点350°C（分解）。微溶于水，溶解度约0.01 g/100mL（25°C）。"
39,氢氧化钾,KOH,碱,"强碱性，性质与NaOH相似。与酸中和（如HNO₃ + KOH → KNO₃ + H₂O），与SiO₂反应生成硅酸钾（2KOH + SiO₂ → K₂SiO₃ + H₂O）。","白色半透明晶体，熔点360°C，沸点1327°C。易潮解，溶于水剧烈放热，腐蚀性强。"
40,氢氧化钡,Ba(OH)₂,碱,"强碱性，易吸收CO₂生成BaCO₃沉淀（Ba(OH)₂ + CO₂ → BaCO₃↓ + H₂O）。与硫酸盐反应生成BaSO₄沉淀（如Ba(OH)₂ + CuSO₄ → BaSO₄↓ + Cu(OH)₂↓）。","白色结晶粉末，熔点78°C，溶于水放热。水溶液呈强碱性，八水合物（Ba(OH)₂·8H₂O）为常见形态。"
41,氯化钠,NaCl,盐,"强酸强碱盐，水溶液呈中性，与硝酸银反应生成白色氯化银沉淀，与浓硫酸共热生成氯化氢气体。在熔融状态下可电解生成金属钠和氯气。","无色立方晶体或白色结晶粉末，易溶于水，熔点801°C，沸点1465°C，密度2.165g/cm³，味咸，吸湿性低。"
42,碳酸钠,Na₂CO₃,盐,"水溶液呈强碱性，与酸反应生成二氧化碳，高温下与二氧化硅反应生成硅酸钠。易吸收空气中的二氧化碳和水分生成碳酸氢钠。","白色粉末或颗粒，十水合物为无色晶体，易溶于水，熔点851°C，密度2.54g/cm³，有涩味。"
43,碳酸氢钠,NaHCO₃,盐,"弱碱性，受热分解生成碳酸钠、二氧化碳和水，与酸反应迅速释放二氧化碳。在潮湿空气中缓慢分解。","白色晶体或粉末，可溶于水，50°C以上开始分解，密度2.20g/cm³，味微咸。"
44,硫酸铜,CuSO₄·5H₂O,盐,"加热至110°C失去结晶水变为无水硫酸铜，与氢氧化钠反应生成蓝色氢氧化铜沉淀，与铁发生置换反应生成铜。","蓝色三斜晶体，易溶于水，溶液呈蓝色，密度2.284g/cm³，熔点110°C（失水）。"
45,硫酸钡,BaSO₄,盐,"化学性质极稳定，不溶于水、酸和碱，高温下可被碳还原为硫化钡。用于X射线造影剂和白色颜料。","白色结晶粉末，密度4.50g/cm³，熔点1580°C，难溶于水，无毒但可吸收X射线。"
46,硝酸银,AgNO₃,盐,"光照分解产生银单质和氧气，与氯化物反应生成白色氯化银沉淀。具有氧化性，可被有机物还原为黑色银颗粒。","无色透明斜方晶体，易溶于水，熔点212°C，沸点444°C，对光敏感需避光保存。"
47,氯化银,AgCl,盐,"难溶于水和稀酸，遇光分解为银和氯气，与氨水形成可溶性络合物[Ag(NH₃)₂]Cl。用于照相感光材料。","白色微晶粉末，密度5.56g/cm³，熔点455°C，沸点1550°C，见光渐变灰黑色。"
48,碳酸钙,CaCO₃,盐,"与酸反应生成二氧化碳，高温下分解为氧化钙和二氧化碳。在水中微溶，通入二氧化碳形成碳酸氢钙。","白色固体，不溶于水，密度2.71g/cm³，熔点1339°C，天然存在于石灰石、大理石中。"
49,硫酸亚铁,FeSO₄,盐,"水溶液呈酸性，易被氧化为硫酸铁，与硫化氢反应生成硫化亚铁沉淀。七水合物在干燥空气中易风化。","蓝绿色单斜晶体（七水合物），易溶于水，密度1.898g/cm³，熔点64°C（失水）。"
50,氯化铁,FeCl₃,盐,"易潮解，水溶液呈酸性，水解生成氢氧化铁胶体，与硫氰化钾显血红色。可用作净水剂和蚀刻剂。","棕黑色六方晶体（无水）或橙黄色结晶（六水合物），熔点306°C，沸点315°C分解。"
51,氯化亚铁,FeCl₂,盐,"强还原性，易被氧化为氯化铁，水溶液呈浅绿色。与氢氧化钠反应生成白色氢氧化亚铁沉淀。","绿色六方晶体（四水合物），易溶于水，密度3.16g/cm³，熔点677°C（分解）。"
52,明矾,KAl(SO₄)₂·12H₂O,盐,"水解生成氢氧化铝胶体，具有吸附性，用于净水和造纸施胶。与碳酸氢钠混合可作灭火剂。","无色透明正八面体结晶，易溶于水，熔点92.5°C，密度1.757g/cm³，味涩。"
53,硫酸铝,Al₂(SO₄)₃,盐,"水溶液呈酸性，与碳酸盐反应生成二氧化碳，加热分解为氧化铝和二氧化硫。用作絮凝剂和媒染剂。","白色结晶粉末或片状晶体，易溶于水，密度2.672g/cm³，770°C分解。"
54,硝酸钾,KNO₃,盐,"强氧化剂，高温分解生成亚硝酸钾和氧气，与可燃物混合易爆炸。用于黑火药和植物肥料。","无色透明斜方晶体，易溶于水，熔点334°C，密度2.109g/cm³，味清凉。"
55,碳酸钾,K₂CO₃,盐,"水溶液呈强碱性，吸湿性强，与酸反应生成二氧化碳。用于玻璃制造和软皂生产。","白色结晶粉末，易溶于水，熔点891°C，密度2.43g/cm³，有苦咸味。"
56,碳酸氢铵,NH₄HCO₃,盐,"不稳定，受热分解为氨气、二氧化碳和水，有刺激性气味。用作膨松剂和氮肥。","白色晶体，易溶于水，密度1.58g/cm³，熔点107°C（分解），易潮解。"
57,硫酸铵,(NH₄)₂SO₄,盐,"水溶液呈弱酸性，与碱共热释放氨气，高温分解生成二氧化硫和氮氧化物。常用作氮肥。","无色结晶或白色颗粒，易溶于水，熔点235°C（分解），密度1.769g/cm³。"
58,氯化铵,NH₄Cl,盐,"受热分解为氨气和氯化氢，水溶液呈酸性，与氢氧化钠反应释放氨气。用于干电池和金属焊接。","白色结晶性粉末，易溶于水，熔点520°C（升华），密度1.527g/cm³，味咸凉。"
59,碳酸氢钙,Ca(HCO₃)₂,盐,"仅存在于水溶液中，加热分解为碳酸钙、二氧化碳和水，是暂时硬水的主要成分。","无色溶液，遇热或减压时析出碳酸钙沉淀，形成水垢的主要成分。"
60,高锰酸钾,KMnO₄,盐,"强氧化剂，酸性条件下还原为Mn²⁺（无色），中性生成MnO₂（棕色），碱性生成MnO₄²⁻（绿色）。","深紫色斜方晶体，溶于水呈紫红色，熔点240°C（分解），密度2.703g/cm³。"
61,甲烷,CH₄,有机物,"常温下稳定，可燃性极强，在空气中燃烧生成二氧化碳和水；具有还原性，在高温下可分解为碳和氢气。与氯气在光照条件下发生取代反应生成氯代甲烷。","无色无味气体，密度比空气小，微溶于水，沸点-161.5°C，熔点-182.5°C，是天然气的主要成分。"
62,乙醇,C₂H₅OH,有机物,"可燃性，燃烧生成二氧化碳和水；与钠反应生成乙醇钠和氢气；可被强氧化剂（如高锰酸钾）氧化为乙酸；与浓硫酸共热发生脱水反应生成乙烯或乙醚。","无色透明液体，有特殊香味，易挥发，沸点78.5°C，熔点-114.1°C，能与水以任意比例混溶。"
63,葡萄糖,C₆H₁₂O₆,有机物,"具有还原性，可被弱氧化剂（如斐林试剂）氧化生成葡萄糖酸；在酶作用下发酵生成乙醇和二氧化碳；与浓硫酸脱水生成碳。","白色结晶性粉末，无臭，味甜，易溶于水，微溶于乙醇，熔点146°C（α型），在生物体内是主要能量来源。"
64,乙酸,CH₃COOH,有机物,"弱酸性，能与碳酸盐反应生成二氧化碳；与醇发生酯化反应生成乙酸乙酯；可被还原为乙醇。","无色液体，有强烈刺激性酸味，沸点118°C，熔点16.6°C（低温下凝结为冰醋酸），易溶于水和乙醇。"
65,甲醇,CH₃OH,有机物,"可燃性，燃烧生成二氧化碳和水；有毒，误食会导致失明或死亡；与钠反应生成甲醇钠和氢气；可氧化生成甲醛。","无色透明液体，有类似乙醇气味，沸点64.7°C，熔点-97.6°C，与水混溶，易挥发。"
66,甲醛,HCHO,有机物,"强还原性，能与蛋白质结合使其变性（防腐作用）；与氨水缩合生成乌洛托品；可被氧化为甲酸。","无色气体，有强烈刺激性气味，易溶于水（37%水溶液称福尔马林），沸点-19.5°C，常温下易聚合。"
67,尿素,CO(NH₂)₂,有机物,"水解生成氨和二氧化碳；与硝酸反应生成硝酸脲；高温下分解为氰酸和氨。","白色晶体，无臭，熔点132.7°C，易溶于水和乙醇，吸湿性强，是哺乳动物蛋白质代谢的最终产物。"
68,苯,C₆H₆,有机物,"易取代难加成，如硝化生成硝基苯；与浓硫酸磺化生成苯磺酸；在光照下与氯气发生加成生成六氯环己烷。","无色透明液体，有特殊芳香气味，沸点80.1°C，熔点5.5°C，不溶于水，密度比水小。"
69,甲苯,C₇H₈,有机物,"可发生硝化、磺化等取代反应；侧链甲基易被氧化生成苯甲酸；与高锰酸钾酸性条件下氧化为苯甲酸。","无色透明液体，有类似苯的气味，沸点110.6°C，熔点-95°C，不溶于水，易燃。"
70,乙烯,C₂H₄,有机物,"加成反应（如与溴水生成1,2-二溴乙烷）；聚合生成聚乙烯；可被高锰酸钾氧化为二氧化碳。","无色气体，略有甜味，沸点-103.7°C，难溶于水，密度略小于空气，是植物催熟激素。"
71,乙炔,C₂H₂,有机物,"可燃性极强，燃烧产生高温；与氯化氢加成生成氯乙烯；与银氨溶液反应生成乙炔银沉淀。","无色气体，微溶于水，沸点-84°C，熔点-80.8°C，高纯乙炔无味（工业乙炔因含杂质有蒜味）。"
72,甘油,C₃H₈O₃,有机物,"与硝酸酯化生成硝化甘油（炸药）；与脂肪酸酯化生成甘油三酯；具有吸湿性和保湿性。","无色粘稠液体，味甜，沸点290°C，熔点17.8°C，可与水、乙醇混溶，广泛用于化妆品和食品。"
73,丙酮,C₃H₆O,有机物,"可发生亲核加成（如与氢氰酸生成丙酮氰醇）；易被还原为异丙醇；与碘仿反应生成黄色结晶。","无色透明液体，有特殊刺激性气味，沸点56.5°C，熔点-94.9°C，与水混溶，是常用有机溶剂。"
74,纤维素,(C₆H₁₀O₅)ₙ,有机物,"水解生成葡萄糖；与浓硝酸酯化生成硝化纤维素（火棉）；不溶于一般溶剂。","白色纤维状固体，无味，不溶于水，熔点分解，是植物细胞壁主要成分，用于造纸和纺织。"
75,淀粉,(C₆H₁₀O₅)ₙ,有机物,"遇碘变蓝色；水解最终生成葡萄糖；在酶作用下分解为麦芽糖。","白色粉末，无味，不溶于冷水，热水中糊化，是植物储存能量的多糖，广泛存在于谷物和薯类中。"
76,蛋白质,复杂高分子,有机物,"两性物质，可与酸或碱反应；遇浓硝酸显黄色（黄蛋白反应）；高温或强酸强碱下变性。","结构复杂，多数为白色固体，部分溶于水（如乳清蛋白），具有特定空间构象。"
77,硝化甘油,C₃H₅N₃O₉,有机物,"极不稳定，受撞击或加热剧烈爆炸分解；碱性条件下水解生成甘油和硝酸盐。","淡黄色油状液体，有甜味，熔点13°C，不溶于水，是诺贝尔发明的安全炸药主要成分。"
78,TNT,C₇H₅N₃O₆,有机物,"稳定性高，需雷管引爆；爆炸生成氮气、二氧化碳和水；不与金属反应。","黄色晶体，无臭，熔点80.1°C，难溶于水，易溶于苯和甲苯，是常用军用炸药。"
79,氯仿,CHCl₃,有机物,"光照下缓慢氧化生成光气（剧毒）；与氢氧化钠反应生成甲酸钠；曾用作麻醉剂。","无色透明液体，有特殊气味，沸点61.2°C，熔点-63.5°C，不溶于水，密度比水大。"
80,四氯化碳,CCl₄,有机物,"不可燃，高温下分解产生光气和氯化氢；与钠反应爆炸；曾用作灭火剂。","无色液体，有醚样气味，沸点76.8°C，熔点-22.9°C，不溶于水，密度比水大。"
81,过氧化氢,H₂O₂,氧化物,"强氧化性，遇光或加热分解为水和氧气，可用作漂白剂、消毒剂；与有机物接触可能引发剧烈反应，释放大量热量。","无色透明液体，有微弱刺激性气味，密度1.11 g/cm³，沸点150.2℃，可与水以任意比例混溶。"
82,二氧化硅,SiO₂,氧化物,"化学性质稳定，高温下与强碱反应生成硅酸盐；与氢氟酸反应生成四氟化硅气体，用于玻璃蚀刻。","透明或半透明晶体，熔点约1713℃，硬度高（莫氏硬度7），不溶于水和普通酸。"
83,碳化钙,CaC₂,碳化物,"与水剧烈反应生成乙炔气体和氢氧化钙，用于金属切割和有机合成；遇湿气易水解。","灰色或棕黑色块状固体，密度2.22 g/cm³，熔点约2160℃，工业品常含杂质呈暗色。"
84,碳化硅,SiC,碳化物,"耐高温和化学腐蚀，高温下可被强氧化剂氧化；用于磨料和耐高温陶瓷材料。","黑色或绿色晶体，硬度接近金刚石（莫氏硬度9.5），熔点约2700℃，导电性差。"
85,硫化亚铁,FeS,硫化物,"与酸反应生成硫化氢气体；高温下氧化生成二氧化硫和氧化铁。","黑色或灰黑色块状或粉末，密度4.84 g/cm³，不溶于水，具金属光泽。"
86,硫化氢,H₂S,硫化物,"可燃，燃烧生成二氧化硫和水；强还原性，能与金属离子生成硫化物沉淀。","无色气体，有臭鸡蛋味，密度比空气大，溶于水形成弱酸性溶液，剧毒。"
87,磷化氢,PH₃,磷化物,"强还原性，空气中自燃生成磷酸；剧毒，用于半导体掺杂和熏蒸杀虫。","无色气体，有大蒜臭味，密度略大于空气，微溶于水，易燃。"
88,氰化钠,NaCN,氰化物,"遇酸释放剧毒氰化氢气体；强配位性，用于冶金提取贵金属。","白色结晶粉末，易潮解，密度1.6 g/cm³，易溶于水，水溶液呈强碱性。"
89,臭氧,O₃,单质,"强氧化性，可杀菌消毒；不稳定，常温下缓慢分解为氧气。","淡蓝色气体，有鱼腥味，液态呈深蓝色，沸点-111.9℃，密度大于氧气。"
90,氟化氢,HF,酸,"腐蚀性强，与二氧化硅反应生成四氟化硅；用于玻璃刻蚀和制备氟化物。","无色液体或气体，易液化，沸点19.5℃，与水混溶，可腐蚀玻璃。"
91,碘化银,AgI,盐,"感光性，光照分解为银和碘；用于人工降雨催化剂和照相乳剂。","亮黄色晶体或粉末，密度5.68 g/cm³，不溶于水，微溶于氨水。"
92,溴化银,AgBr,盐,"光照分解为银和溴，用于黑白照相底片；微溶于硫代硫酸钠溶液。","淡黄色粉末，密度6.47 g/cm³，熔点432℃，难溶于水，见光变黑。"
93,过氧化钠,Na₂O₂,氧化物,"强氧化性，与水反应生成氧气和氢氧化钠；用于漂白和供氧剂。","淡黄色颗粒或粉末，密度2.8 g/cm³，遇水剧烈反应，易吸潮。"
94,重铬酸钾,K₂Cr₂O₇,盐,"强氧化性，酸性条件下氧化有机物；用于实验室分析和皮革鞣制。","橙红色晶体，密度2.68 g/cm³，易溶于水，水溶液呈酸性。"
95,次氯酸钠,NaClO,盐,"不稳定，光照分解生成氯化钠和氧气；用于漂白、消毒和水处理。","无色或淡黄色液体，有刺激性气味，密度1.1 g/cm³，易溶于水。"
96,硫酸铝钾,KAl(SO₄)₂·12H₂O,盐,"水解生成氢氧化铝胶体，吸附杂质；用于净水和收敛止血。","无色透明晶体或白色粉末，密度1.76 g/cm³，溶于水，味涩。"
97,硅酸钠,Na₂SiO₃,盐,"水溶液呈碱性，与酸反应生成硅酸凝胶；用于防火材料和黏合剂。","无色或灰白色粘稠液体，密度1.4 g/cm³，易固化，耐高温。"
98,二氧化钛,TiO₂,氧化物,"光催化性，用于防晒剂和颜料；化学性质稳定，耐酸碱腐蚀。","白色粉末，密度4.23 g/cm³，熔点1843℃，折射率高，不溶于水。"
99,氯化钴,CoCl₂,盐,"吸水变色（蓝色→粉红色），用于湿度指示剂；水溶液呈粉红色。","蓝色结晶粉末，密度3.35 g/cm³，易溶于水，吸湿性强。"
100,苯甲酸钠,C₇H₅NaO₂,盐,"弱碱性，抑制微生物生长；用作食品防腐剂，与酸反应生成苯甲酸。","白色颗粒或结晶性粉末，无臭，易溶于水，水溶液呈碱性。"
